epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.437,1.1154,2.29557,1.55796,0.81599,0.6014,0.83053,0.55696,1.00207,3.05945,1.81778,0.000655556,0.000655556,0.000655556
2,298.692,1.27232,1.78205,1.67853,0.59499,0.42331,0.40079,0.24605,1.56308,3.46766,2.22086,0.00129604,0.00129604,0.00129604
3,448.71,1.36734,1.72387,1.71147,0.45835,0.53072,0.3765,0.16005,1.41314,3.95436,2.07628,0.00191013,0.00191013,0.00191013
4,596.756,1.32793,1.57771,1.64425,0.42894,0.62712,0.43816,0.16533,1.99425,3.31772,2.77159,0.0018812,0.0018812,0.0018812
5,747.655,1.33264,1.55365,1.6986,0.85107,0.84746,0.87797,0.56432,1.10174,1.97624,1.77998,0.0018416,0.0018416,0.0018416
6,898.827,1.28811,1.59581,1.6988,0.81383,0.84746,0.82625,0.56895,1.07434,2.17913,1.77341,0.001802,0.001802,0.001802
7,11760.4,1.24007,1.40387,1.62802,0.73662,0.90068,0.76982,0.50637,1.22497,2.22839,1.85544,0.0017624,0.0017624,0.0017624
8,11850.5,1.2497,1.3956,1.63877,0.81713,0.91525,0.86483,0.60357,1.04126,1.6533,1.78381,0.0017228,0.0017228,0.0017228
9,11930.7,1.26906,1.32581,1.63126,0.8369,0.9322,0.93097,0.66796,1.00652,1.54214,1.68458,0.0016832,0.0016832,0.0016832
10,12018.2,1.23254,1.25942,1.5919,0.85164,0.84746,0.87535,0.55784,1.25042,1.65056,1.92855,0.0016436,0.0016436,0.0016436
11,12117.7,1.29067,1.31407,1.63839,0.83939,0.91525,0.89167,0.62805,1.14731,1.42147,1.80353,0.001604,0.001604,0.001604
12,12210.9,1.16371,1.1842,1.54316,0.85745,0.9322,0.89777,0.54236,1.1758,1.37037,1.91026,0.0015644,0.0015644,0.0015644
13,12304.5,1.25121,1.24261,1.61936,0.79721,0.88136,0.80507,0.59472,1.02707,1.23273,1.63679,0.0015248,0.0015248,0.0015248
14,12398.5,1.19438,1.20284,1.60604,0.79714,0.94915,0.89685,0.65242,0.97878,1.28739,1.61457,0.0014852,0.0014852,0.0014852
15,12492.1,1.14084,1.11289,1.53197,0.83068,0.89831,0.84506,0.58469,1.04341,1.40792,1.68682,0.0014456,0.0014456,0.0014456
16,12585.7,1.13932,1.032,1.55234,0.86444,0.81356,0.85659,0.54767,1.18639,1.32122,1.8533,0.001406,0.001406,0.001406
17,12704.5,1.10302,1.02508,1.5067,0.85423,0.94915,0.88334,0.62099,1.02379,1.06843,1.74377,0.0013664,0.0013664,0.0013664
18,12802.1,1.17851,1.06414,1.53476,0.84655,0.86441,0.89959,0.64805,0.94955,1.13505,1.63863,0.0013268,0.0013268,0.0013268
19,12895.9,1.1748,1.06847,1.54729,0.84111,0.88136,0.90228,0.66163,0.99868,1.13904,1.67781,0.0012872,0.0012872,0.0012872
20,12989.7,1.09567,1.01603,1.46982,0.85944,0.93274,0.91953,0.64792,1.0282,1.07021,1.78547,0.0012476,0.0012476,0.0012476
21,13083.6,1.11166,1.02043,1.53192,0.81352,0.96125,0.92149,0.64807,1.0382,0.99007,1.73936,0.001208,0.001208,0.001208
22,13177.4,1.0702,0.94296,1.47879,0.84096,0.9322,0.92086,0.67974,0.93812,0.92609,1.59628,0.0011684,0.0011684,0.0011684
23,13270.4,1.0878,1.01321,1.48085,0.85945,0.93276,0.90847,0.67984,0.92741,0.93304,1.58349,0.0011288,0.0011288,0.0011288
24,13364,1.07507,0.99301,1.49567,0.82346,0.94871,0.87682,0.64824,0.93877,0.9223,1.5806,0.0010892,0.0010892,0.0010892
25,13457.4,1.09905,0.97973,1.52567,0.81143,0.9661,0.86935,0.64479,0.95539,0.93446,1.61192,0.0010496,0.0010496,0.0010496
26,13551.4,1.09727,0.96384,1.49448,0.85,0.96049,0.92278,0.67252,1.01194,0.85633,1.66747,0.00101,0.00101,0.00101
27,13646.1,1.0717,0.97938,1.49497,0.87141,0.9661,0.91545,0.65803,1.00884,0.84903,1.64282,0.0009704,0.0009704,0.0009704
28,13739.8,1.10737,0.91987,1.52399,0.87135,0.94915,0.91961,0.69581,0.95641,0.84884,1.53915,0.0009308,0.0009308,0.0009308
29,13834,1.05795,0.92588,1.46944,0.84676,0.94915,0.89811,0.65198,1.00203,0.86208,1.592,0.0008912,0.0008912,0.0008912
30,13928.8,1.12655,1.00402,1.52728,0.83655,0.94915,0.89971,0.6788,0.98213,0.89229,1.60474,0.0008516,0.0008516,0.0008516
31,14023.3,1.05679,0.8899,1.4655,0.8512,0.98305,0.90116,0.67239,0.97346,0.86305,1.57405,0.000812,0.000812,0.000812
32,14117.9,1.03527,0.90504,1.47743,0.83638,0.98305,0.90481,0.69522,0.98018,0.87601,1.5984,0.0007724,0.0007724,0.0007724
33,14212.7,1.04421,0.88384,1.46729,0.85502,0.94915,0.90493,0.67241,0.96176,0.8731,1.57963,0.0007328,0.0007328,0.0007328
34,14306.9,1.0419,0.90478,1.45351,0.82478,0.9661,0.89124,0.66849,0.89406,0.8228,1.52909,0.0006932,0.0006932,0.0006932
